No PTT port
decay = 1.444046e-05
samples per bit = 40.000
Filter for de-emphasis of 3dB is not availabe, using 6dB
Available filter length 40
Available filter length 80
Filter length 32 not supported, using length 80
Callsign in test packet is: kk6bqj
Trying to decode packets from <./audio/nonOfficialRecordings/ot3test4800Mono1Packet.wav>
Audio rate is 48000, 1 channels, 2 bytes per frame, 16 bits per sample
23471 1 -Switched Freq from f_1200 to: f_2200
23511 1 -Switched Freq from f_2200 to: f_1200
23544 1 -Switched Freq from f_1200 to: f_2200
23598 1 -Switched Freq from f_2200 to: f_1200
23628 1 -Switched Freq from f_1200 to: f_2200
23665 1 -Switched Freq from f_2200 to: f_1200
23711 1 -Switched Freq from f_1200 to: f_2200
23751 1 -Switched Freq from f_2200 to: f_1200
23784 1 -Switched Freq from f_1200 to: f_2200
23984 5 -Switched Freq from f_2200 to: f_1200
24031 1 -Switched Freq from f_1200 to: f_2200
24071 1 -Switched Freq from f_2200 to: f_1200
24104 1 -Switched Freq from f_1200 to: f_2200
24231 3 -Switched Freq from f_2200 to: f_1200
24264 1 -Switched Freq from f_1200 to: f_2200
24317 1 -Switched Freq from f_2200 to: f_1200
24347 1 -Switched Freq from f_1200 to: f_2200
24384 1 -Switched Freq from f_2200 to: f_1200
24431 1 -Switched Freq from f_1200 to: f_2200
24544 3 -Switched Freq from f_2200 to: f_1200
24591 1 -Switched Freq from f_1200 to: f_2200
24677 2 -Switched Freq from f_2200 to: f_1200
24707 1 -Switched Freq from f_1200 to: f_2200
24744 1 -Switched Freq from f_2200 to: f_1200
24871 3 -Switched Freq from f_1200 to: f_2200
24910 1 -Switched Freq from f_2200 to: f_1200
24943 1 -Switched Freq from f_1200 to: f_2200
24997 1 -Switched Freq from f_2200 to: f_1200
25067 2 -Switched Freq from f_1200 to: f_2200
25196 3 -Switched Freq from f_2200 to: f_1200
25227 1 -Switched Freq from f_1200 to: f_2200
25310 2 -Switched Freq from f_2200 to: f_1200
25343 1 -Switched Freq from f_1200 to: f_2200
25516 4 -Switched Freq from f_2200 to: f_1200
25547 1 -Switched Freq from f_1200 to: f_2200
25583 1 -Switched Freq from f_2200 to: f_1200
25630 1 -Switched Freq from f_1200 to: f_2200
25716 2 -Switched Freq from f_2200 to: f_1200
25786 2 -Switched Freq from f_1200 to: f_2200
25869 2 -Switched Freq from f_2200 to: f_1200
25914 1 -Switched Freq from f_1200 to: f_2200
25956 1 -Switched Freq from f_2200 to: f_1200
25986 1 -Switched Freq from f_1200 to: f_2200
26069 2 -Switched Freq from f_2200 to: f_1200
26193 3 -Switched Freq from f_1200 to: f_2200
26262 2 -Switched Freq from f_2200 to: f_1200
26350 2 -Switched Freq from f_1200 to: f_2200
26388 1 -Switched Freq from f_2200 to: f_1200
26513 3 -Switched Freq from f_1200 to: f_2200
26555 1 -Switched Freq from f_2200 to: f_1200
26586 1 -Switched Freq from f_1200 to: f_2200
26622 1 -Switched Freq from f_2200 to: f_1200
26670 1 -Switched Freq from f_1200 to: f_2200
26708 1 -Switched Freq from f_2200 to: f_1200
26793 2 -Switched Freq from f_1200 to: f_2200
26835 1 -Switched Freq from f_2200 to: f_1200
26906 2 -Switched Freq from f_1200 to: f_2200
26961 1 -Switched Freq from f_2200 to: f_1200
26989 1 -Switched Freq from f_1200 to: f_2200
27148 4 -Switched Freq from f_2200 to: f_1200
27233 2 -Switched Freq from f_1200 to: f_2200
27301 2 -Switched Freq from f_2200 to: f_1200
27469 4 -Switched Freq from f_1200 to: f_2200
27554 2 -Switched Freq from f_2200 to: f_1200
27585 1 -Switched Freq from f_1200 to: f_2200
27667 2 -Switched Freq from f_2200 to: f_1200
27793 3 -Switched Freq from f_1200 to: f_2200
27907 3 -Switched Freq from f_2200 to: f_1200
27952 1 -Switched Freq from f_1200 to: f_2200
27994 1 -Switched Freq from f_2200 to: f_1200
28105 3 -Switched Freq from f_1200 to: f_2200
28233 3 -Switched Freq from f_2200 to: f_1200
28305 2 -Switched Freq from f_1200 to: f_2200
28433 3 -Switched Freq from f_2200 to: f_1200
28465 1 -Switched Freq from f_1200 to: f_2200
28520 1 -Switched Freq from f_2200 to: f_1200
28548 1 -Switched Freq from f_1200 to: f_2200
28587 1 -Switched Freq from f_2200 to: f_1200
28632 1 -Switched Freq from f_1200 to: f_2200
28720 2 -Switched Freq from f_2200 to: f_1200
28748 1 -Switched Freq from f_1200 to: f_2200
28786 1 -Switched Freq from f_2200 to: f_1200
28872 2 -Switched Freq from f_1200 to: f_2200
28913 1 -Switched Freq from f_2200 to: f_1200
28945 1 -Switched Freq from f_1200 to: f_2200
